player_id,player_name,team,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,games_played
00-0028118,T.Taylor,NYJ,3,2025,2025_03_NYJ_TB,QB,197.0,2.0,26.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,45.0,38.0,0.5,0.3333333333333333,1.0,1.3333333333333333,0.0,0.0,0.25,0.3333333333333333,14.5,13.0,3
00-0028118,T.Taylor,NYJ,3,2025,2025_03_NYJ_TB,RB,0.0,0.0,0.0,0.0,0.0,48.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.333333333333336,38.666666666666664,0.6666666666666666,0.6666666666666666,8.0,14.666666666666666,0.0,0.0,1.0,1.6666666666666667,13.333333333333334,12.666666666666666,4
00-0028118,T.Taylor,NYJ,7,2025,2025_07_CAR_NYJ,QB,126.0,0.0,10.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25,60.666666666666664,0.25,0.3333333333333333,4.5,4.0,0.0,0.0,5
00-0028118,T.Taylor,NYJ,7,2025,2025_07_CAR_NYJ,RB,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,55.75,69.66666666666667,0.25,0.3333333333333333,4.375,5.666666666666667,0.125,0.0,6
00-0029263,R.Wilson,NYG,1,2025,2025_01_NYG_WAS,QB,168.0,0.0,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.583333333333336,40.666666666666664,0.3333333333333333,0.0,3.6666666666666665,2.6666666666666665,0.0,0.0,0.4166666666666667,0.3333333333333333,7.333333333333333,8.0,1
00-0029263,R.Wilson,NYG,1,2025,2025_01_NYG_WAS,RB,0.0,0.0,0.0,0.0,0.0,44.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,36.42857142857143,23.666666666666668,0.42857142857142855,0.6666666666666666,3.142857142857143,2.6666666666666665,0.0,0.0,0.35714285714285715,0.3333333333333333,7.785714285714286,7.0,2
00-0029263,R.Wilson,NYG,2,2025,2025_02_NYG_DAL,QB,450.0,3.0,30.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,16.666666666666668,16.666666666666668,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3
00-0029263,R.Wilson,NYG,2,2025,2025_02_NYG_DAL,RB,0.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,16.6,11.0,0.0,0.0,1.0,1.0,0.2,0.0,4
00-0029263,R.Wilson,NYG,3,2025,2025_03_KC_NYG,QB,160.0,0.0,18.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,5
00-0029263,R.Wilson,NYG,3,2025,2025_03_KC_NYG,RB,0.0,0.0,0.0,0.0,0.0,27.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,7.666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,6
