season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2020.0,1.0,TB,S,Andrew Adams,00-0032637,,,Full Participation in Practice,Andrew Adams,
2020.0,1.0,TB,CB,Parnell Motley,00-0036106,,,Full Participation in Practice,Parnell Motley,
2020.0,1.0,TB,LB,Jason Pierre-Paul,00-0027867,,,Full Participation in Practice,Jason Pierre-Paul,
2020.0,1.0,TB,CB,Ryan Smith,00-0032772,,,Full Participation in Practice,Ryan Smith,
2020.0,1.0,TB,WR,Mike Evans,00-0031408,Doubtful,Hamstring,Limited Participation in Practice,Mike Evans,DOUBTFUL
2020.0,1.0,TEN,T,Dennis Kelly,00-0029419,,,Full Participation in Practice,Dennis Kelly,
2020.0,1.0,TEN,G,Rodger Saffold,00-0027648,,,Full Participation in Practice,Rodger Saffold,
2020.0,1.0,TEN,S,Kenny Vaccaro,00-0030060,,,Full Participation in Practice,Kenny Vaccaro,
2020.0,1.0,TEN,CB,Adoree' Jackson,00-0033878,Out,Knee,Did Not Participate In Practice,Adoree' Jackson,OUT
2020.0,1.0,TEN,LB,Derick Roberson,00-0035521,Out,Knee,Did Not Participate In Practice,Derick Roberson,OUT
2020.0,1.0,TEN,LB,Vic Beasley,00-0032240,Out,Knee,Limited Participation in Practice,Vic Beasley,OUT
2020.0,1.0,TEN,G,Jamil Douglas,00-0031575,Out,Hand,Limited Participation in Practice,Jamil Douglas,OUT
2020.0,1.0,TEN,RB,Darrynton Evans,00-0036297,Out,Hamstring,Limited Participation in Practice,Darrynton Evans,OUT
2020.0,1.0,TEN,WR,Corey Davis,00-0033871,Questionable,Hamstring,Full Participation in Practice,Corey Davis,QUESTIONABLE
2020.0,1.0,WAS,DE,Jonathan Allen,00-0033523,,,Full Participation in Practice,Jonathan Allen,
2020.0,1.0,WAS,WR,Antonio Gandy-Golden,00-0036340,,,Full Participation in Practice,Antonio Gandy-Golden,
2020.0,1.0,WAS,LB,Thomas Davis,00-0023448,Out,Calf,Did Not Participate In Practice,Thomas Davis,OUT
2020.0,1.0,WAS,CB,Kendall Fuller,00-0033084,Doubtful,Knee,Limited Participation in Practice,Kendall Fuller,DOUBTFUL
2020.0,1.0,WAS,T,Saahdiq Charles,00-0036334,Questionable,Calf,Full Participation in Practice,Saahdiq Charles,QUESTIONABLE
2020.0,2.0,ARI,S,Jalen Thompson,00-0035705,,,Did Not Participate In Practice,Jalen Thompson,
2020.0,2.0,ARI,WR,Larry Fitzgerald,00-0022921,,,Full Participation in Practice,Larry Fitzgerald,
2020.0,2.0,ARI,WR,DeAndre Hopkins,00-0030564,,,Full Participation in Practice,DeAndre Hopkins,
2020.0,2.0,ARI,C,Mason Cole,00-0034785,Out,Hamstring,Did Not Participate In Practice,Mason Cole,OUT
2020.0,2.0,ARI,TE,Maxx Williams,00-0031558,Out,Ankle,Did Not Participate In Practice,Maxx Williams,OUT
2020.0,2.0,ARI,LB,Kylie Fitts,00-0034404,Questionable,Wrist,Limited Participation in Practice,Kylie Fitts,QUESTIONABLE
2020.0,2.0,ARI,T,Josh Jones,00-0036363,Questionable,Ankle,Limited Participation in Practice,Josh Jones,QUESTIONABLE
2020.0,2.0,ATL,G,James Carpenter,00-0027963,,,Did Not Participate In Practice,James Carpenter,
2020.0,2.0,ATL,RB,Todd Gurley,00-0032241,,,Did Not Participate In Practice,Todd Gurley,
2020.0,2.0,ATL,C,Alex Mack,00-0026997,,,Did Not Participate In Practice,Alex Mack,
2020.0,2.0,ATL,DE,Dante Fowler,00-0032052,,,Full Participation in Practice,Dante Fowler,
2020.0,2.0,ATL,G,Chris Lindstrom,00-0035630,,,Full Participation in Practice,Chris Lindstrom,
